,model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
74,GBM_grid_1_AutoML_1_20241015_104849_model_1096,0.8024680430302236,0.15908073168256676,0.2682819565592451,0.3371490689889327,0.20091333182995907,0.040366166907015236
75,GBM_grid_1_AutoML_1_20241015_104849_model_507,0.8024470759223741,0.16141033314700004,0.27263149185902225,0.34001191312945994,0.20253189353522666,0.04101916789896437
76,GBM_grid_1_AutoML_1_20241015_104849_model_399,0.8024456463468388,0.1592464426459468,0.2692485370595057,0.32186750217414617,0.20117671499616174,0.04047207065664689
77,GBM_grid_1_AutoML_1_20241015_104849_model_819,0.8024305166724247,0.1586188823373566,0.27610282470475545,0.32884240121037395,0.2006813943119746,0.040273022022998234
78,GBM_grid_1_AutoML_1_20241015_104849_model_120,0.8024213435627405,0.1582476732576261,0.2724639925330557,0.3422677833240014,0.20060667991743136,0.04024304002749477
79,StackedEnsemble_AllModels_2_AutoML_1_20241015_104849,0.8023596931177851,0.15679570941030604,0.27867570451502083,0.3481096246172907,0.19901321302780026,0.0396062589596486
80,GBM_grid_1_AutoML_1_20241015_104849_model_1091,0.8023557022194161,0.160168610977322,0.27029053383094515,0.3420485817419378,0.2020360369157256,0.04081856021261244
81,GBM_grid_1_AutoML_1_20241015_104849_model_578,0.8022797560191087,0.15875892339177292,0.2566890100893436,0.3385560095781561,0.2011446453119345,0.04045916833766392
82,GBM_grid_1_AutoML_1_20241015_104849_model_476,0.8022580145578443,0.15858433245336762,0.2613713865097771,0.3555360312600517,0.20112002724456735,0.04044926535885551
83,GBM_grid_1_AutoML_1_20241015_104849_model_955,0.8021764691866907,0.16003630651358305,0.26510514331096496,0.3647075922374048,0.20167425112676865,0.040672503567542935
84,GBM_grid_1_AutoML_1_20241015_104849_model_665,0.8020489987014692,0.1584265727399417,0.25780264186079443,0.32708187893877844,0.20110305761088335,0.04044243978044628
85,GBM_grid_1_AutoML_1_20241015_104849_model_125,0.8019644750479504,0.15900596067182174,0.2620749754914864,0.3563052620292825,0.20120278777179007,0.04048256180714
86,GBM_grid_1_AutoML_1_20241015_104849_model_265,0.8019402318294994,0.1593245187998855,0.2649048605327887,0.3506934632658653,0.2012384032397062,0.0404968949384666
87,GBM_grid_1_AutoML_1_20241015_104849_model_969,0.8019310587198152,0.159382685786365,0.2554633540283152,0.34771958875877096,0.20155062720891784,0.040622655328308166
88,GBM_grid_1_AutoML_1_20241015_104849_model_1086,0.8018969276039123,0.1588308631589493,0.2577050973043333,0.3451978175146829,0.20124063080665447,0.0404977914874602
89,GBM_grid_1_AutoML_1_20241015_104849_model_423,0.8018442715716991,0.1596253875075455,0.2679331620309845,0.3595165652065141,0.2009194012560923,0.040368605801106634
90,GBM_grid_1_AutoML_1_20241015_104849_model_1092,0.8018251509989159,0.15906596102641218,0.2558534874948292,0.33938444860080297,0.20114473836049132,0.04045920577011053
91,GBM_grid_1_AutoML_1_20241015_104849_model_538,0.8017922707616063,0.15860573446712448,0.26014137459790565,0.3335739388379933,0.2008991829682528,0.0403604817173115
92,GBM_grid_1_AutoML_1_20241015_104849_model_170,0.8017659427454997,0.1594535175825902,0.2719482078471484,0.3410032046318248,0.20100571606791467,0.04040329789197513
93,GBM_grid_1_AutoML_1_20241015_104849_model_555,0.8017193028436641,0.15802715035869586,0.2762104802595034,0.3487575797286189,0.20012345257832764,0.04004939627187015
94,GBM_grid_1_AutoML_1_20241015_104849_model_1097,0.80160291156884,0.15929791631580748,0.2628114439474035,0.3446608927699217,0.2014307213339851,0.04057433549712955
95,GBM_grid_1_AutoML_1_20241015_104849_model_343,0.8015924875805626,0.158089863824393,0.2654819913549025,0.3175823495073921,0.20042987581006047,0.04017213511723627
96,GBM_grid_1_AutoML_1_20241015_104849_model_954,0.801557224717361,0.15893988086778024,0.2677287597054204,0.35116319796047224,0.2012252600545856,0.0404916052840356
97,GBM_grid_1_AutoML_1_20241015_104849_model_1045,0.8015043304225588,0.16132950827327927,0.2676390818413465,0.3274793009375633,0.2024839952003857,0.040999768312309816
98,GBM_grid_1_AutoML_1_20241015_104849_model_428,0.8015006373524259,0.15854382693246788,0.26647281749755186,0.36140348578167997,0.2010263945079604,0.040411611288870115
99,GBM_grid_1_AutoML_1_20241015_104849_model_1052,0.8014484578453913,0.15886706728253708,0.2713243551119839,0.3302595870909329,0.2006683051414558,0.040267768688344426
100,GBM_grid_1_AutoML_1_20241015_104849_model_752,0.8013453497099152,0.15868589102084865,0.27364805587425656,0.34949833811844033,0.2007039095854948,0.040282059322902464
101,GBM_grid_1_AutoML_1_20241015_104849_model_164,0.8013194982189872,0.1649140185539025,0.24904697340151086,0.3245134082272072,0.20441901453264288,0.04178713350249685
102,GBM_grid_1_AutoML_1_20241015_104849_model_455,0.8012999011210256,0.1614517455229467,0.2452476607253244,0.32814774663156265,0.2029897501398052,0.04120483866182053
103,GBM_grid_1_AutoML_1_20241015_104849_model_115,0.8010281030723961,0.15942161330667382,0.27145085641783256,0.34348113555950016,0.2012988234049222,0.04052121630420605
104,GBM_grid_1_AutoML_1_20241015_104849_model_1120,0.800976459656187,0.15876684507877148,0.2676564162907472,0.3429442108147389,0.2006392709108176,0.04025611703162447
105,GBM_grid_1_AutoML_1_20241015_104849_model_949,0.8009644869610797,0.1594646437573127,0.2698008328320444,0.3572914308859794,0.2014042944818865,0.04056368983574644
106,GBM_grid_1_AutoML_1_20241015_104849_model_1042,0.8009346445717827,0.1584384309556066,0.2626492989518017,0.34880654269069944,0.20103726581287645,0.04041598224551713
107,GBM_grid_1_AutoML_1_20241015_104849_model_557,0.8009233866644428,0.1608815200524702,0.2555278049288726,0.3394129209802123,0.2023580429720464,0.04094877755547658
108,GBM_grid_1_AutoML_1_20241015_104849_model_138,0.8008826437616898,0.15967037114082427,0.2614162840884293,0.326661107206252,0.2015360149238848,0.04061676531140032
109,GBM_grid_1_AutoML_1_20241015_104849_model_615,0.8008016940470092,0.1611337317846467,0.255446873637383,0.32774520198711,0.20248451061162973,0.0409999770376312
110,GBM_grid_1_AutoML_1_20241015_104849_model_18,0.8007751873339607,0.1592629150688096,0.2725127897582499,0.3300221584207956,0.20079912065293012,0.04032028685499
111,GBM_grid_1_AutoML_1_20241015_104849_model_212,0.800770481647824,0.15891379706646422,0.26647060424207203,0.3406803588234593,0.20085694417479985,0.04034351202323866
112,GBM_grid_1_AutoML_1_20241015_104849_model_773,0.8006887575797287,0.16065020139144842,0.2565465378290814,0.33738137501340226,0.2022774929661192,0.04091618416065839
113,GBM_grid_1_AutoML_1_20241015_104849_model_84,0.8006190062067405,0.16058091033279387,0.2707452679510747,0.3349808794272168,0.2020249749108042,0.04081409048771106
114,GBM_grid_1_AutoML_1_20241015_104849_model_182,0.8005526500756484,0.1592486140941082,0.25945670065176724,0.3155354356035787,0.20117146472875275,0.04046995822111181
115,GBM_grid_1_AutoML_1_20241015_104849_model_432,0.8005084523653518,0.16065577826705196,0.26148078411274217,0.3395239513467793,0.20189137027062934,0.04076012538975237
116,GBM_grid_1_AutoML_1_20241015_104849_model_441,0.8004806352080629,0.15901665261997727,0.26245898303677523,0.3553424429063271,0.20102079206592147,0.04040935884281044
117,GBM_grid_1_AutoML_1_20241015_104849_model_991,0.8004607402818646,0.15905111891724608,0.2748141433461953,0.3514188537186833,0.2009436495005937,0.040378350274617454
118,GBM_grid_1_AutoML_1_20241015_104849_model_1083,0.8004277409132604,0.15836040072154958,0.27637834470793177,0.325257025768099,0.2002050945945893,0.04008207990162845
119,GBM_grid_1_AutoML_1_20241015_104849_model_595,0.8004208312981737,0.15879758902993618,0.2608247274766978,0.3631588854076077,0.20073557269835607,0.04029477014653702
120,GBM_grid_1_AutoML_1_20241015_104849_model_828,0.8003864023540345,0.16192532018907532,0.2655836960204725,0.3555155406773805,0.20247373383617764,0.040995612893563314
121,GBM_grid_1_AutoML_1_20241015_104849_model_623,0.8003666265591307,0.15898211480129115,0.2719474090370704,0.33997831810438284,0.2007231826785195,0.04028979606459431
122,GBM_grid_1_AutoML_1_20241015_104849_model_151,0.8003463742390488,0.1604211937705744,0.26423077867203226,0.3414831846177672,0.2019386803313287,0.040779230613958564
123,GBM_grid_1_AutoML_1_20241015_104849_model_39,0.8002808520270192,0.15901381549558632,0.2591914758058612,0.3634737494192349,0.20088817148602894,0.04035605744300018
124,GBM_grid_1_AutoML_1_20241015_104849_model_927,0.8002541666170286,0.15936424376109615,0.2598523171844189,0.35688090444478865,0.2011216971946407,0.04044993708245274
125,GBM_grid_1_AutoML_1_20241015_104849_model_903,0.8002535113949083,0.15952181659455386,0.26739314081672866,0.3373039396719124,0.20134645592442352,0.040540395313325824
126,GBM_grid_1_AutoML_1_20241015_104849_model_841,0.8001545132890959,0.15931596890650165,0.2717747747230023,0.3318418889458072,0.20106571814273205,0.040427423012252564
127,GBM_grid_1_AutoML_1_20241015_104849_model_290,0.8000957815608581,0.15829954588220402,0.26976934594746577,0.3362249675367222,0.20066696534820688,0.04026723098205846
128,GBM_grid_1_AutoML_1_20241015_104849_model_440,0.8000229923398579,0.16153911707827587,0.2717310762690984,0.3286488128566493,0.2018172214040815,0.04073019085526405
129,GBM_grid_1_AutoML_1_20241015_104849_model_572,0.7999591379659523,0.159280835372836,0.2699221546523116,0.32824340906112626,0.20113146870785525,0.040453867704578934
130,GBM_grid_1_AutoML_1_20241015_104849_model_388,0.7999514539974506,0.15854199226531418,0.26318210434230305,0.32861521783157216,0.20079978690254016,0.040320554420105535
131,GBM_grid_1_AutoML_1_20241015_104849_model_852,0.7999513944318033,0.15888700735339584,0.2651068617087484,0.3555257859687161,0.20120378552397525,0.04048296330917783
132,GBM_grid_1_AutoML_1_20241015_104849_model_278,0.799948952240264,0.1586720343650518,0.27028028302967283,0.34643678297852065,0.20050658941853344,0.040202892400252335
133,GBM_grid_1_AutoML_1_20241015_104849_model_952,0.7998875996235452,0.15897532849778545,0.2682012282775796,0.3452416578310956,0.2007926891471793,0.040317704014955776
134,GBM_grid_1_AutoML_1_20241015_104849_model_1010,0.7998820600183462,0.160413555779698,0.26693324082854514,0.3401565385211041,0.20136975553694086,0.04054977844500735
135,GBM_grid_1_AutoML_1_20241015_104849_model_961,0.7998667516469902,0.16065219484567442,0.25152946491865946,0.32893234533779675,0.2023587562172416,0.040949066217789015
136,GBM_grid_1_AutoML_1_20241015_104849_model_422,0.799861152476144,0.15959211377583954,0.26980699720415874,0.3501514158754364,0.20140113349884511,0.040562416574619634
137,GBM_grid_1_AutoML_1_20241015_104849_model_859,0.7998294039861332,0.1590108975162819,0.27218135355026873,0.3496196137763429,0.20102515949213706,0.040411114748839135
138,GBM_grid_1_AutoML_1_20241015_104849_model_1053,0.7998138573521878,0.15902063686354678,0.26189488142326284,0.33904111220976635,0.20082823583104467,0.040331980307009685
139,GBM_grid_1_AutoML_1_20241015_104849_model_274,0.7997283210826652,0.1599725628903109,0.2624792604660662,0.3373477799883251,0.2014127217479988,0.04056708448193679
140,GBM_grid_1_AutoML_1_20241015_104849_model_514,0.7997121192265997,0.15949306492747714,0.2645619170767452,0.32710236952144955,0.20087469572119648,0.04035064338108328
141,GBM_grid_1_AutoML_1_20241015_104849_model_11,0.7996941304011149,0.1589700291740148,0.26529092301005364,0.3289636768682765,0.20108710256503431,0.040436022818000635
142,GBM_grid_1_AutoML_1_20241015_104849_model_241,0.7996524940136525,0.16026013779133966,0.2665064682263213,0.3260131520949238,0.20154386645492214,0.040619930105599486
143,GBM_grid_1_AutoML_1_20241015_104849_model_539,0.7996423678536114,0.16219657626897996,0.26009845069137,0.3485121692617433,0.20256305366711624,0.04103179071094702
144,GBM_grid_1_AutoML_1_20241015_104849_model_791,0.7996389726117155,0.1595271718093261,0.2634991808949961,0.33799061245398554,0.2018019032956775,0.040724008173757965
145,GBM_grid_1_AutoML_1_20241015_104849_model_387,0.7995973957899001,0.15900013381960176,0.2619234795780421,0.3555024362349746,0.20092515808439804,0.04037091915124032
146,StackedEnsemble_BestOfFamily_2_AutoML_1_20241015_104849,0.7995811343681871,0.1575328272843299,0.2744683219574157,0.3424693534744642,0.19942601923838635,0.039770737149269236
147,GBM_grid_1_AutoML_1_20241015_104849_model_19,0.7995709486424988,0.16087969992641127,0.2627051475183846,0.3350634374143744,0.2022064726206566,0.04088745756968835
148,GBM_grid_1_AutoML_1_20241015_104849_model_346,0.7995314566183391,0.1605108716529741,0.26541771396941105,0.3315913558332638,0.20194858473227387,0.040783230875368386
149,GBM_grid_1_AutoML_1_20241015_104849_model_870,0.7994991124718551,0.1589480776526137,0.2697827410919875,0.33799061245398554,0.20077734418757884,0.0403115419390175
150,GBM_grid_1_AutoML_1_20241015_104849_model_1105,0.7994932154727725,0.1599103311719294,0.2578165303731973,0.359986299901121,0.20168761261863452,0.0406778930838044
151,GBM_grid_1_AutoML_1_20241015_104849_model_467,0.7994434781572771,0.15847185862945698,0.2631202080360825,0.3253885467173372,0.20039550519054108,0.04015835850057218
152,GBM_grid_1_AutoML_1_20241015_104849_model_301,0.7994290632706306,0.1588917050884995,0.2654973713434372,0.3516950000595657,0.20087064011994807,0.04034901406219772
153,GBM_grid_1_AutoML_1_20241015_104849_model_789,0.7993868907923422,0.1597560312808651,0.2619853644875904,0.3413721542512003,0.2013326854445555,0.04053485022831633
154,GBM_grid_1_AutoML_1_20241015_104849_model_299,0.7993868312266948,0.16057744963505746,0.2616413745002139,0.3396890673210945,0.2022294563039196,0.04089675299697891
155,GBM_grid_1_AutoML_1_20241015_104849_model_490,0.7993705102393348,0.15931806452345826,0.2674123761105253,0.3500016678381244,0.20105855859908225,0.04042454398594058
156,GBM_grid_1_AutoML_1_20241015_104849_model_796,0.79936598325014,0.15902171482629074,0.26908323855005783,0.35802706663013306,0.20081039658293146,0.0403248153757942
157,StackedEnsemble_BestOfFamily_1_AutoML_1_20241015_104849,0.7993659236844927,0.15762256230756086,0.27285687584738144,0.3476888528847643,0.19950828370648915,0.039803555267508964
158,GBM_grid_1_AutoML_1_20241015_104849_model_174,0.7993094554508523,0.1607889708105733,0.26873444414861936,0.34872398470354177,0.20154019235269294,0.04061844913356048
159,GBM_grid_1_AutoML_1_20241015_104849_model_321,0.7992793747989659,0.16133026200918088,0.26118312452349673,0.3342270165949893,0.20198443144692727,0.04079771054693848
160,GBM_grid_1_AutoML_1_20241015_104849_model_1040,0.7992552507118095,0.15898200775993415,0.2640759201637025,0.3590957934739877,0.20109595732889854,0.04043958405402618
161,GBM_grid_1_AutoML_1_20241015_104849_model_1021,0.7992388105931548,0.16096349937114793,0.2560758318864603,0.3709388737327408,0.20233910767093854,0.04094111449307166
162,GBM_grid_1_AutoML_1_20241015_104849_model_382,0.7992120656175171,0.1587894007601743,0.26905032101597864,0.34827474059160607,0.20049962934510734,0.040200101367525436
163,GBM_grid_1_AutoML_1_20241015_104849_model_489,0.7992078364565587,0.1591688444179146,0.2579701235963778,0.3265164818146079,0.20140756104106,0.04056500564450829
164,GBM_grid_1_AutoML_1_20241015_104849_model_229,0.7991446968704209,0.15975934123635474,0.2631750378601093,0.33841138418651195,0.20165247395273309,0.040663720251257696
165,GBM_grid_1_AutoML_1_20241015_104849_model_298,0.7991321880844879,0.16095908693087832,0.25550555862488833,0.3163302796011485,0.20230944583678367,0.04092911187478649
