iter	Passed	Remaining
202	1408	5530
203	1415	5524
204	1423	5518
205	1430	5511
206	1437	5505
207	1443	5497
208	1450	5491
209	1457	5483
210	1464	5476
211	1471	5470
212	1478	5463
213	1481	5442
214	1488	5434
215	1495	5427
216	1502	5420
217	1509	5413
218	1515	5405
219	1522	5398
220	1529	5392
221	1536	5384
222	1543	5377
223	1550	5370
224	1557	5364
225	1563	5356
226	1570	5349
227	1576	5337
228	1583	5330
229	1590	5325
230	1597	5318
231	1602	5304
232	1609	5298
233	1616	5291
234	1623	5284
235	1630	5278
236	1637	5270
237	1644	5265
238	1651	5258
239	1658	5251
240	1665	5245
241	1672	5237
242	1679	5230
243	1686	5224
244	1693	5218
245	1698	5205
246	1705	5199
247	1712	5192
248	1719	5185
249	1726	5179
250	1733	5173
251	1740	5165
252	1747	5159
253	1754	5153
254	1761	5147
255	1768	5141
256	1776	5135
257	1783	5130
258	1791	5124
259	1798	5117
260	1804	5110
261	1812	5105
262	1819	5098
263	1826	5092
264	1833	5085
265	1840	5079
266	1847	5071
267	1854	5065
268	1861	5058
269	1868	5052
270	1876	5047
271	1883	5039
272	1890	5034
273	1897	5026
274	1903	5018
275	1910	5011
276	1917	5005
277	1920	4988
278	1927	4981
279	1934	4975
280	1942	4969
281	1948	4961
282	1955	4955
283	1963	4949
284	1970	4943
285	1977	4938
286	1985	4931
287	1992	4925
288	1997	4914
289	2004	4907
290	2011	4901
291	2018	4895
292	2025	4888
293	2033	4882
294	2040	4875
295	2046	4867
296	2053	4861
297	2060	4855
298	2066	4845
299	2073	4837
300	2078	4827
301	2085	4820
302	2092	4814
303	2099	4807
304	2107	4801
305	2114	4795
306	2121	4788
307	2128	4781
308	2135	4774
309	2142	4768
310	2147	4758
311	2154	4750
312	2161	4744
313	2168	4737
314	2175	4730
315	2182	4724
316	2189	4718
317	2196	4711
318	2203	4703
319	2210	4697
320	2217	4689
321	2224	4683
322	2230	4675
323	2238	4669
324	2244	4662
325	2251	4655
326	2258	4648
327	2265	4640
328	2272	4634
329	2279	4628
330	2286	4621
331	2293	4614
332	2300	4607
333	2306	4600
334	2314	4593
335	2321	4587
336	2328	4580
337	2335	4573
338	2342	4566
339	2349	4560
340	2356	4554
341	2363	4548
342	2370	4540
343	2377	4533
344	2383	4524
345	2390	4518
346	2397	4512
347	2404	4504
348	2410	4497
349	2418	4491
350	2425	4484
351	2432	4478
352	2439	4471
353	2446	4464
354	2451	4454
355	2458	4448
356	2465	4440
357	2471	4432
358	2478	4426
359	2485	4419
360	2492	4412
361	2499	4405
362	2506	4398
363	2513	4391
364	2520	4384
365	2527	4378
366	2534	4371
367	2541	4364
368	2548	4357
369	2555	4350
370	2562	4343
371	2569	4337
372	2576	4331
373	2583	4324
374	2590	4318
375	2597	4310
376	2604	4303
377	2611	4297
378	2619	4291
379	2625	4284
380	2632	4277
381	2639	4270
382	2646	4263
383	2653	4256
384	2660	4250
385	2667	4243
386	2675	4237
387	2681	4229
388	2688	4222
389	2693	4212
390	2700	4206
391	2707	4200
392	2714	4193
393	2722	4186
394	2728	4179
395	2735	4172
396	2742	4165
397	2749	4159
398	2756	4152
399	2763	4145
400	2770	4138
401	2777	4131
402	2784	4124
403	2790	4117
404	2797	4110
405	2805	4104
406	2812	4097
407	2819	4091
408	2826	4084
409	2833	4078
410	2840	4070
411	2847	4064
412	2854	4057
413	2861	4051
414	2869	4044
415	2876	4038
